127.0.0.1 - - [13/Jan/2023:15:46:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:46:15 +0530] "GET /TechBlog/ HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:46:15 +0530] "GET /TechBlog/js/myjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:46:15 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:46:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jan/2023:15:52:16 +0530] "GET /TechBlog/ HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [13/Jan/2023:16:47:52 +0530] "GET /TechBlog/ HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [13/Jan/2023:16:50:06 +0530] "GET /TechBlog/ HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [13/Jan/2023:16:57:36 +0530] "GET /TechBlog/ HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [13/Jan/2023:16:57:54 +0530] "GET /TechBlog/ HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:05:04 +0530] "GET /TechBlog/? HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:09:26 +0530] "GET /TechBlog/? HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:10:08 +0530] "GET /TechBlog/ HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:10:13 +0530] "GET /TechBlog/ HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:10:35 +0530] "GET /TechBlog/ HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:15:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [13/Jan/2023:17:18:22 +0530] "GET /TechBlog/ HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:19:07 +0530] "GET /TechBlog/ HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:21:20 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:23:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:23:52 +0530] "GET /TechBlog/ HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:24:20 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:24:28 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:17 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:18 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:19 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:19 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:19 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:43 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:25:46 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:26:10 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:26:20 +0530] "GET /TechBlog/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:26:52 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:27:02 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:28:24 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:29:04 +0530] "GET /TechBlog/ HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:29:05 +0530] "GET /TechBlog/ HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:31:26 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:31:27 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:31:27 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:31:28 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:31:28 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:31:47 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:32:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:19:33:12 +0530] "GET /TechBlog/ HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:03:50 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:04:00 +0530] "GET /TechBlog/ HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:06:41 +0530] "GET /TechBlog/ HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:06:41 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:34 +0530] "GET /TechBlog/ HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:34 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:48 +0530] "GET /TechBlog/ HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:50 +0530] "GET /TechBlog/ HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:59 +0530] "GET /TechBlog/ HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:52 +0530] "GET /TechBlog/ HTTP/1.1" 200 3566
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:52 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:29:41 +0530] "GET /TechBlog/ HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:30:07 +0530] "GET /TechBlog/ HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:31:05 +0530] "GET /TechBlog/ HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:31:05 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:31:38 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:20 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:20 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:21 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:21 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:22 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:22 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:22 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:22 +0530] "GET /TechBlog/ HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:35 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:36 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:36 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:36 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:36 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:37:37 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:43 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:38:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:00 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:41 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:41 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:43 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:43 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:43 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:40:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:41:57 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:41:57 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:41:58 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:41:58 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:41:58 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:41:58 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:42:11 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:42:13 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:45:04 +0530] "GET /TechBlog/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:45:04 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:45:04 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:45:55 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:45:55 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:45:56 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
